,Adj Close,Close,High,Low,Open,Volume
A,27.81605339050293,30.221744537353516,31.645206451416016,30.193132400512695,31.101573944091797,20489927.0
AAL,13.66974925994873,14.5,14.609999656677246,13.930000305175781,13.930000305175781,15628000.0
AAP,75.646484375,79.0,79.18000030517578,77.93000030517578,78.83000183105469,1247100.0
AAPL,14.34047794342041,16.43428611755371,16.79142951965332,16.42571449279785,16.74464225769043,391745200.0
ABBV,25.752182006835938,37.58000183105469,37.810001373291016,36.93000030517578,36.93000030517578,13296300.0
ABC,40.39909362792969,46.599998474121094,47.09000015258789,46.5099983215332,46.77000045776367,2962100.0
ABMD,14.65999984741211,14.65999984741211,14.979999542236328,14.449999809265137,14.760000228881836,360400.0
ABT,29.533935546875,35.08000183105469,35.099998474121094,34.779998779296875,34.84000015258789,10014100.0
ACN,61.7726936340332,74.16000366210938,74.16000366210938,73.0,73.08000183105469,3221900.0
ADBE,38.630001068115234,38.630001068115234,38.7599983215332,38.380001068115234,38.5099983215332,2367900.0
ADI,37.18292999267578,46.18000030517578,46.630001068115234,45.86000061035156,46.38999938964844,3187400.0
ADM,25.39058494567871,32.56999969482422,32.56999969482422,31.719999313354492,31.719999313354492,15806000.0
ADP,43.632789611816406,53.7489013671875,53.784019470214844,53.33626174926758,53.784019470214844,2497599.0
ADSK,39.0,39.0,39.5099983215332,38.59000015258789,38.650001525878906,2911000.0
AEE,24.347414016723633,33.130001068115234,33.25,33.08000183105469,33.18000030517578,2361200.0
AEP,32.71903991699219,45.130001068115234,45.20000076293945,44.7599983215332,44.84000015258789,4384900.0
AES,8.40435791015625,11.170000076293945,11.239999771118164,11.109999656677246,11.220000267028809,4121200.0
AFL,19.86549949645996,24.670000076293945,24.704999923706055,24.375,24.469999313354492,10634000.0
AIG,31.60563850402832,38.349998474121094,39.310001373291016,38.31999969482422,39.310001373291016,20563400.0
AIZ,34.66609191894531,41.84000015258789,42.130001068115234,41.56999969482422,41.91999816894531,1198100.0
AJG,30.826656341552734,38.869998931884766,38.900001525878906,38.560001373291016,38.79999923706055,580500.0
AKAM,38.4900016784668,38.4900016784668,39.0,37.83000183105469,37.83000183105469,6736900.0
ALB,56.81770324707031,65.41999816894531,65.86000061035156,65.0,65.37000274658203,378800.0
ALGN,32.72999954223633,32.72999954223633,32.84000015258789,32.45000076293945,32.84000015258789,728100.0
ALK,22.022912979125977,24.489999771118164,24.885000228881836,24.440000534057617,24.46500015258789,1269800.0
ALL,37.97913360595703,45.849998474121094,46.189998626708984,45.720001220703125,45.9900016784668,3812800.0
ALLE,,,,,,
AMAT,11.933171272277832,13.739999771118164,13.899999618530273,13.630000114440918,13.829999923706055,10918200.0
AMCR,6.818709850311279,9.5,9.5,9.5,9.5,0.0
AMD,2.7100000381469727,2.7100000381469727,2.7899999618530273,2.700000047683716,2.7699999809265137,10718400.0
AME,39.43711853027344,41.90999984741211,42.060001373291016,41.7599983215332,41.83000183105469,504300.0
AMGN,66.37667083740234,83.61000061035156,84.72000122070312,83.31999969482422,84.23999786376953,5622200.0
AMP,55.47252655029297,68.7699966430664,69.33999633789062,68.70999908447266,69.16999816894531,1748200.0
AMT,63.27528381347656,75.18000030517578,75.26000213623047,73.55999755859375,73.66999816894531,3591300.0
AMZN,265.0899963378906,265.0899963378906,268.9200134277344,263.1099853515625,267.6300048828125,3979900.0
ANET,,,,,,
ANSS,75.62000274658203,75.62000274658203,76.05000305175781,75.23999786376953,75.23999786376953,177600.0
ANTM,54.630088806152344,62.70000076293945,63.810001373291016,62.56999969482422,63.18000030517578,2930700.0
AON,51.75070571899414,57.0,57.380001068115234,56.81999969482422,57.290000915527344,2939500.0
AOS,15.761327743530273,17.99250030517578,18.024999618530273,17.827499389648438,17.940000534057617,1508800.0
APA,65.33523559570312,76.8499984741211,80.16000366210938,76.61000061035156,80.08000183105469,10830300.0
APD,64.40242004394531,81.6188735961914,82.14616394042969,81.36910247802734,82.06290435791016,865232.0
APH,16.123783111572266,17.604999542236328,17.667499542236328,17.4950008392334,17.575000762939453,5045600.0
APTV,30.625064849853516,33.51215362548828,33.797149658203125,33.46186065673828,33.797149658203125,2692243.0
ARE,54.15700912475586,71.62000274658203,72.01000213623047,70.97000122070312,71.68000030517578,964100.0
ATO,29.915332794189453,37.900001525878906,37.939998626708984,37.72999954223633,37.84000015258789,339700.0
ATVI,13.298772811889648,14.369999885559082,14.520000457763672,14.0,14.0600004196167,13936900.0
AVB,96.73552703857422,130.25999450683594,130.25999450683594,129.2899932861328,129.97999572753906,1187600.0
AVGO,27.984811782836914,35.13999938964844,35.779998779296875,34.97999954223633,35.58000183105469,2531700.0
AVY,32.73344039916992,39.72999954223633,40.040000915527344,39.5,39.720001220703125,776700.0
AWK,32.43370056152344,39.16999816894531,39.189998626708984,38.86000061035156,39.099998474121094,593100.0
AXP,54.03398132324219,61.689998626708984,62.68000030517578,61.43000030517578,62.56999969482422,5354400.0
AZO,373.70001220703125,373.70001220703125,375.55999755859375,369.4700012207031,375.0,646500.0
BA,62.79315948486328,75.02999877929688,75.26000213623047,74.72000122070312,75.26000213623047,3650700.0
BAC,10.409261703491211,12.029999732971191,12.210000038146973,11.970000267028809,12.210000038146973,158242700.0
BAX,31.89889144897461,37.02878952026367,37.16458511352539,36.94731140136719,37.099403381347656,4189011.0
BBWI,24.745296478271484,35.618431091308594,36.11964416503906,35.286983489990234,35.58609390258789,4546965.0
BBY,12.894818305969238,16.8700008392334,16.889999389648438,15.920000076293945,15.930000305175781,18403300.0
BDX,74.8365478515625,86.33170318603516,86.49755859375,85.89268493652344,86.253662109375,1126885.0
BEN,34.713165283203125,48.186668395996094,48.1966667175293,47.849998474121094,48.016666412353516,2812200.0
BF.B,,,,,,
BIIB,168.74000549316406,168.74000549316406,169.07000732421875,164.39999389648438,165.33999633789062,1934000.0
BIO,117.18000030517578,117.18000030517578,117.20999908447266,116.33999633789062,116.75,53300.0
BK,23.03794288635254,27.989999771118164,28.360000610351562,27.799999237060547,28.15999984741211,5952200.0
BKNG,702.260009765625,702.260009765625,706.22998046875,698.5,704.2000122070312,669800.0
BKR,26.6516056060791,46.58000183105469,47.529998779296875,46.2599983215332,47.43000030517578,4132800.0
BLK,193.1678924560547,242.9499969482422,247.0,242.3699951171875,246.75,1001000.0
BLL,21.0305118560791,22.770000457763672,23.03499984741211,22.65999984741211,22.809999465942383,2723400.0
BMY,28.29484748840332,36.58000183105469,36.83000183105469,36.47999954223633,36.689998626708984,7038900.0
BR,18.856643676757812,22.549999237060547,22.690000534057617,22.489999771118164,22.489999771118164,648300.0
BRK.B,,,,,,
BRO,13.274361610412598,14.6850004196167,14.744999885559082,14.574999809265137,14.59000015258789,989800.0
BSX,7.539999961853027,7.539999961853027,7.559999942779541,7.440000057220459,7.510000228881836,17838800.0
BWA,33.6207160949707,38.05500030517578,38.470001220703125,37.36000061035156,37.60499954223633,3755600.0
BXP,77.54273986816406,107.20999908447266,107.27999877929688,106.52999877929688,107.2300033569336,1307400.0
C,37.146915435791016,43.84000015258789,44.5099983215332,43.630001068115234,44.47999954223633,23244700.0
CAG,20.307785034179688,26.249027252197266,26.4046688079834,26.070039749145508,26.3735408782959,6338006.0
